СУБД;Конфигурация индексов;Код запроса;Запрос;Базовая медиана без индексов, мс;Медиана выбранной конфигурации, мс;Относительный эффект;Интерпретация
PostgreSQL;status+date;Q3;фильтрация по status;109.6135;46.525;2.356012896292316;ускоряет
PostgreSQL;status;Q3;фильтрация по status;109.6135;46.3965;2.362538122487688;ускоряет
PostgreSQL;student_id;Q3;фильтрация по status;109.6135;109.1745;1.0040210855098948;почти не влияет
PostgreSQL;Все индексы;Q4;фильтрация по status и created_at;109.2685;30.763;3.5519455189675915;ускоряет
PostgreSQL;course+score;Q4;фильтрация по status и created_at;109.2685;108.747;1.00479553458946;почти не влияет
PostgreSQL;created_at;Q4;фильтрация по status и created_at;109.2685;60.678;1.8007927090543523;ускоряет
PostgreSQL;status+date;Q4;фильтрация по status и created_at;109.2685;30.9735;3.527806027733385;ускоряет
PostgreSQL;status;Q4;фильтрация по status и created_at;109.2685;93.643;1.166862445671326;ускоряет
PostgreSQL;student_id;Q4;фильтрация по status и created_at;109.2685;109.496;0.9979222985314532;почти не влияет
PostgreSQL;Все индексы;Q5;сортировка по created_at с LIMIT;190.7685;30.7855;6.196699745009826;ускоряет
PostgreSQL;course+score;Q5;сортировка по created_at с LIMIT;190.7685;187.2215;1.0189454736769017;почти не влияет
PostgreSQL;created_at;Q5;сортировка по created_at с LIMIT;190.7685;30.8835;6.177036281509544;ускоряет
PostgreSQL;status+date;Q5;сортировка по created_at с LIMIT;190.7685;187.215;1.0189808508933578;почти не влияет
PostgreSQL;status;Q5;сортировка по created_at с LIMIT;190.7685;187.064;1.0198033827994697;почти не влияет
PostgreSQL;student_id;Q5;сортировка по created_at с LIMIT;190.7685;194.3845;0.9813976937461576;почти не влияет
PostgreSQL;Все индексы;Q6;агрегация по course_id;141.0875;124.926;1.1293685862030325;ускоряет
PostgreSQL;course+score;Q6;агрегация по course_id;141.0875;139.3665;1.012348735169499;почти не влияет
PostgreSQL;created_at;Q6;агрегация по course_id;141.0875;139.7045;1.0098994663736671;почти не влияет
PostgreSQL;status+date;Q6;агрегация по course_id;141.0875;124.9345;1.1292917488764114;ускоряет
PostgreSQL;status;Q6;агрегация по course_id;141.0875;124.729;1.131152338269368;ускоряет
PostgreSQL;student_id;Q6;агрегация по course_id;141.0875;141.952;0.9939099132100992;почти не влияет
PostgreSQL;Все индексы;Q7;широкий диапазон score;123.702;77.922;1.5875105875105875;ускоряет
PostgreSQL;course+score;Q7;широкий диапазон score;123.702;78.14099999999999;1.5830613890275274;ускоряет
PostgreSQL;created_at;Q7;широкий диапазон score;123.702;110.54;1.1190700199022978;ускоряет
PostgreSQL;status+date;Q7;широкий диапазон score;123.702;110.7675;1.1167716162231702;ускоряет
PostgreSQL;status;Q7;широкий диапазон score;123.702;117.1175;1.056221316199543;почти не влияет
PostgreSQL;student_id;Q7;широкий диапазон score;123.702;124.067;0.9970580412196636;почти не влияет
