dbms,index_mode,index_label,query_id,query_name,median_ms,mean_ms,min_ms,max_ms,std_ms,p95,p99,baseline_median_ms,relative_effect
mysql,idx_course_score_only,Only composite index on course_id + score,Q6,Aggregation by course_id for graded activities,2254.929,2517.145452,1897.66,4863.65,554.8586589468596,3619.680799999999,4165.18818,268.4225,0.11903811605598225
mysql,idx_created_at_only,Only created_at index,Q6,Aggregation by course_id for graded activities,263.95500000000004,264.254619,236.547,312.763,9.979314017611692,280.6411,291.6193,268.4225,1.0169252334678258
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q6,Aggregation by course_id for graded activities,649.829,656.078718,591.764,887.883,35.4352126092555,719.53,762.5534799999999,268.4225,0.41306636053484846
mysql,idx_status_only,Only status index,Q6,Aggregation by course_id for graded activities,313.778,317.89394300000004,284.208,470.356,19.948727158518107,354.65360000000004,391.14790999999997,268.4225,0.8554535372142088
mysql,idx_student_id_only,Only student_id index,Q6,Aggregation by course_id for graded activities,257.408,259.101355,234.286,316.526,11.91274833251374,282.10945,293.07964,268.4225,1.042790045375435
mysql,all_indexes,All benchmark indexes,Q7,Broad score range where indexes are expected to help little,157.2995,157.15362100000002,136.957,185.305,7.794549096835686,169.64525,177.56544,139.969,0.8898248246180057
mysql,idx_course_score_only,Only composite index on course_id + score,Q7,Broad score range where indexes are expected to help little,155.7125,155.849278,136.284,224.845,10.933575297106314,172.02945,196.57021999999998,139.969,0.8988937946536083
mysql,idx_created_at_only,Only created_at index,Q7,Broad score range where indexes are expected to help little,139.95800000000003,138.57962899999998,119.828,167.827,6.456967855987226,145.82005,150.37136,139.969,1.0000785950070734
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q7,Broad score range where indexes are expected to help little,140.575,140.429733,120.469,173.417,7.867466500904456,152.64855,161.22659000000002,139.969,0.9956891339142807
mysql,idx_status_only,Only status index,Q7,Broad score range where indexes are expected to help little,140.26749999999998,140.245383,122.255,186.537,8.003767668992532,152.88015,162.04628,139.969,0.9978719232894292
mysql,idx_student_id_only,Only student_id index,Q7,Broad score range where indexes are expected to help little,139.983,138.42472,120.332,175.146,6.991542351158868,146.43300000000002,152.90183,139.969,0.9998999878556681
postgres,all_indexes,All benchmark indexes,Q1,Exact search by student_id,30.913,29.951163,14.314,44.501,4.0933699581207,33.3642,34.24747,93.16499999999999,3.0137806100993108
postgres,idx_course_score_only,Only composite index on course_id + score,Q1,Exact search by student_id,80.8075,83.655022,66.996,108.404,7.547556157025896,94.1132,98.14414,93.16499999999999,1.1529251616495992
postgres,idx_created_at_only,Only created_at index,Q1,Exact search by student_id,92.3505,90.377206,67.293,114.534,7.141713463501516,98.52655,105.03124,93.16499999999999,1.0088196598827293
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q1,Exact search by student_id,80.94749999999999,84.17488,67.456,107.607,7.567095032364062,94.49745,97.34558999999999,93.16499999999999,1.1509311590845919
postgres,idx_status_only,Only status index,Q1,Exact search by student_id,82.0445,84.220314,67.5,104.485,7.560007014511527,94.79385,97.24319,93.16499999999999,1.1355422971680003
postgres,idx_student_id_only,Only student_id index,Q1,Exact search by student_id,30.993000000000002,29.564536,13.292,41.357,4.829141121636085,33.37475,34.34104,93.16499999999999,3.0060013551447096
postgres,all_indexes,All benchmark indexes,Q2,Date range filtering by created_at,30.9475,30.613987,16.931,45.182,4.290276181149829,37.34865,43.354369999999996,109.5805,3.540851441958155
postgres,idx_course_score_only,Only composite index on course_id + score,Q2,Date range filtering by created_at,108.483,107.009285,85.687,147.666,6.382552891530799,113.71445,120.66824,109.5805,1.010116792492833
postgres,idx_created_at_only,Only created_at index,Q2,Date range filtering by created_at,30.7945,29.446767,14.899,62.063,4.9528018616730485,33.008500000000005,35.36622,109.5805,3.558443877965221
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q2,Date range filtering by created_at,62.251999999999995,61.372138,43.469,78.281,4.585317272713792,65.27154999999999,68.97078,109.5805,1.7602727623208894
postgres,idx_status_only,Only status index,Q2,Date range filtering by created_at,108.641,107.20642600000001,86.128,136.399,6.061617889636723,113.04785,120.54520000000001,109.5805,1.0086477480877385
